warehouse_id,demand_region,ship_cost_per_unit_usd,lead_time_days
WH-E100928,North,2.33,2
WH-E100929,South,2.48,1
WH-E100930,East,2.63,1
WH-E100931,West,1.58,2
WH-W100932,North,0.52,4
WH-W100933,South,0.72,4
WH-W100934,East,1.39,1
WH-W100935,West,0.67,3
WH-C100936,North,1.55,2
WH-C100937,South,2.48,1
WH-C100938,East,0.98,3
WH-C100939,West,1.14,2
WH-N100940,North,1.08,2
WH-N100941,South,2.7,2
WH-N100942,East,1.09,3
WH-N100943,West,0.63,1
WH-S100944,North,1.43,3
WH-S100945,South,1.43,3
WH-S100946,East,2.42,2
WH-S100947,West,1.15,4
WH-E100948,North,2.33,2
WH-E100949,South,2.48,1
WH-E100950,East,2.63,1
WH-E100951,West,1.58,2
WH-W100952,North,0.52,4
WH-W100953,South,0.72,4
WH-W100954,East,1.39,1
WH-W100955,West,0.67,3
WH-C100956,North,1.55,2
WH-C100957,South,2.48,1
WH-C100958,East,0.98,3
WH-C100959,West,1.14,2
WH-N100960,North,1.08,2
WH-N100961,South,2.7,2
WH-N100962,East,1.09,3
WH-N100963,West,0.63,1
WH-S100964,North,1.43,3
WH-S100965,South,1.43,3
WH-S100966,East,2.42,2
WH-S100967,West,1.15,4
WH-E100968,North,2.33,2
WH-E100969,South,2.48,1
WH-E100970,East,2.63,1
WH-E100971,West,1.58,2
WH-W100972,North,0.52,4
WH-W100973,South,0.72,4
WH-W100974,East,1.39,1
WH-W100975,West,0.67,3
WH-C100976,North,1.55,2
WH-C100977,South,2.48,1
WH-C100978,East,0.98,3
WH-C100979,West,1.14,2
WH-N100980,North,1.08,2
WH-N100981,South,2.7,2
WH-N100982,East,1.09,3
WH-N100983,West,0.63,1
WH-S100984,North,1.43,3
WH-S100985,South,1.43,3
WH-S100986,East,2.42,2
WH-S100987,West,1.15,4
WH-E100988,North,2.33,2
WH-E100989,South,2.48,1
WH-E100990,East,2.63,1
WH-E100991,West,1.58,2
WH-W100992,North,0.52,4
WH-W100993,South,0.72,4
WH-W100994,East,1.39,1
WH-W100995,West,0.67,3
WH-C100996,North,1.55,2
WH-C100997,South,2.48,1
WH-C100998,East,0.98,3
WH-C100999,West,1.14,2
WH-N101000,North,1.08,2
WH-N101001,South,2.7,2
WH-N101002,East,1.09,3
WH-N101003,West,0.63,1
WH-S101004,North,1.43,3
WH-S101005,South,1.43,3
WH-S101006,East,2.42,2
WH-S101007,West,1.15,4
WH-E101008,North,2.33,2
WH-E101009,South,2.48,1
WH-E101010,East,2.63,1
WH-E101011,West,1.58,2
WH-W101012,North,0.52,4
WH-W101013,South,0.72,4
WH-W101014,East,1.39,1
WH-W101015,West,0.67,3
WH-C101016,North,1.55,2
WH-C101017,South,2.48,1
WH-C101018,East,0.98,3
WH-C101019,West,1.14,2
WH-N101020,North,1.08,2
WH-N101021,South,2.7,2
WH-N101022,East,1.09,3
WH-N101023,West,0.63,1
WH-S101024,North,1.43,3
WH-S101025,South,1.43,3
WH-S101026,East,2.42,2
WH-S101027,West,1.15,4
WH-E101028,North,2.33,2
WH-E101029,South,2.48,1
WH-E101030,East,2.63,1
WH-E101031,West,1.58,2
WH-W101032,North,0.52,4
WH-W101033,South,0.72,4
WH-W101034,East,1.39,1
WH-W101035,West,0.67,3
WH-C101036,North,1.55,2
WH-C101037,South,2.48,1
WH-C101038,East,0.98,3
WH-C101039,West,1.14,2
WH-N101040,North,1.08,2
WH-N101041,South,2.7,2
WH-N101042,East,1.09,3
WH-N101043,West,0.63,1
WH-S101044,North,1.43,3
WH-S101045,South,1.43,3
WH-S101046,East,2.42,2
WH-S101047,West,1.15,4
WH-E101048,North,2.33,2
WH-E101049,South,2.48,1
WH-E101050,East,2.63,1
WH-E101051,West,1.58,2
WH-W101052,North,0.52,4
WH-W101053,South,0.72,4
WH-W101054,East,1.39,1
WH-W101055,West,0.67,3
WH-C101056,North,1.55,2
WH-C101057,South,2.48,1
WH-C101058,East,0.98,3
WH-C101059,West,1.14,2
WH-N101060,North,1.08,2
WH-N101061,South,2.7,2
WH-N101062,East,1.09,3
WH-N101063,West,0.63,1
WH-S101064,North,1.43,3
WH-S101065,South,1.43,3
WH-S101066,East,2.42,2
WH-S101067,West,1.15,4
WH-E101068,North,2.33,2
WH-E101069,South,2.48,1
WH-E101070,East,2.63,1
WH-E101071,West,1.58,2
WH-W101072,North,0.52,4
WH-W101073,South,0.72,4
WH-W101074,East,1.39,1
WH-W101075,West,0.67,3
WH-C101076,North,1.55,2
WH-C101077,South,2.48,1
WH-C101078,East,0.98,3
WH-C101079,West,1.14,2
WH-N101080,North,1.08,2
WH-N101081,South,2.7,2
WH-N101082,East,1.09,3
WH-N101083,West,0.63,1
WH-S101084,North,1.43,3
WH-S101085,South,1.43,3
WH-S101086,East,2.42,2
WH-S101087,West,1.15,4
WH-E101088,North,2.33,2
WH-E101089,South,2.48,1
WH-E101090,East,2.63,1
WH-E101091,West,1.58,2
WH-W101092,North,0.52,4
WH-W101093,South,0.72,4
WH-W101094,East,1.39,1
WH-W101095,West,0.67,3
WH-C101096,North,1.55,2
WH-C101097,South,2.48,1
WH-C101098,East,0.98,3
WH-C101099,West,1.14,2
WH-N101100,North,1.08,2
WH-N101101,South,2.7,2
WH-N101102,East,1.09,3
WH-N101103,West,0.63,1
WH-S101104,North,1.43,3
WH-S101105,South,1.43,3
WH-S101106,East,2.42,2
WH-S101107,West,1.15,4
WH-E101108,North,2.33,2
WH-E101109,South,2.48,1
WH-E101110,East,2.63,1
WH-E101111,West,1.58,2
WH-W101112,North,0.52,4
WH-W101113,South,0.72,4
WH-W101114,East,1.39,1
WH-W101115,West,0.67,3
WH-C101116,North,1.55,2
WH-C101117,South,2.48,1
WH-C101118,East,0.98,3
WH-C101119,West,1.14,2
WH-N101120,North,1.08,2
WH-N101121,South,2.7,2
WH-N101122,East,1.09,3
WH-N101123,West,0.63,1
WH-S101124,North,1.43,3
WH-S101125,South,1.43,3
WH-S101126,East,2.42,2
WH-S101127,West,1.15,4
WH-E101128,North,2.33,2
WH-E101129,South,2.48,1
WH-E101130,East,2.63,1
WH-E101131,West,1.58,2
WH-W101132,North,0.52,4
WH-W101133,South,0.72,4
WH-W101134,East,1.39,1
WH-W101135,West,0.67,3
WH-C101136,North,1.55,2
WH-C101137,South,2.48,1
WH-C101138,East,0.98,3
WH-C101139,West,1.14,2
WH-N101140,North,1.08,2
WH-N101141,South,2.7,2
WH-N101142,East,1.09,3
WH-N101143,West,0.63,1
WH-S101144,North,1.43,3
WH-S101145,South,1.43,3
WH-S101146,East,2.42,2
WH-S101147,West,1.15,4
WH-E101148,North,2.33,2
WH-E101149,South,2.48,1
WH-E101150,East,2.63,1
WH-E101151,West,1.58,2
WH-W101152,North,0.52,4
WH-W101153,South,0.72,4
WH-W101154,East,1.39,1
WH-W101155,West,0.67,3
WH-C101156,North,1.55,2
WH-C101157,South,2.48,1
WH-C101158,East,0.98,3
WH-C101159,West,1.14,2
WH-N101160,North,1.08,2
WH-N101161,South,2.7,2
WH-N101162,East,1.09,3
WH-N101163,West,0.63,1
WH-S101164,North,1.43,3
WH-S101165,South,1.43,3
WH-S101166,East,2.42,2
WH-S101167,West,1.15,4
WH-E101168,North,2.33,2
WH-E101169,South,2.48,1
WH-E101170,East,2.63,1
WH-E101171,West,1.58,2
WH-W101172,North,0.52,4
WH-W101173,South,0.72,4
WH-W101174,East,1.39,1
WH-W101175,West,0.67,3
WH-C101176,North,1.55,2
WH-C101177,South,2.48,1
WH-C101178,East,0.98,3
WH-C101179,West,1.14,2
WH-N101180,North,1.08,2
WH-N101181,South,2.7,2
WH-N101182,East,1.09,3
WH-N101183,West,0.63,1
WH-S101184,North,1.43,3
WH-S101185,South,1.43,3
WH-S101186,East,2.42,2
WH-S101187,West,1.15,4
WH-E101188,North,2.33,2
WH-E101189,South,2.48,1
WH-E101190,East,2.63,1
WH-E101191,West,1.58,2
WH-W101192,North,0.52,4
WH-W101193,South,0.72,4
WH-W101194,East,1.39,1
WH-W101195,West,0.67,3
WH-C101196,North,1.55,2
WH-C101197,South,2.48,1
WH-C101198,East,0.98,3
WH-C101199,West,1.14,2
WH-N101200,North,1.08,2
WH-N101201,South,2.7,2
WH-N101202,East,1.09,3
WH-N101203,West,0.63,1
WH-S101204,North,1.43,3
WH-S101205,South,1.43,3
WH-S101206,East,2.42,2
WH-S101207,West,1.15,4
WH-E101208,North,2.33,2
WH-E101209,South,2.48,1
WH-E101210,East,2.63,1
WH-E101211,West,1.58,2
WH-W101212,North,0.52,4
WH-W101213,South,0.72,4
WH-W101214,East,1.39,1
WH-W101215,West,0.67,3
WH-C101216,North,1.55,2
WH-C101217,South,2.48,1
WH-C101218,East,0.98,3
WH-C101219,West,1.14,2
WH-N101220,North,1.08,2
WH-N101221,South,2.7,2
WH-N101222,East,1.09,3
WH-N101223,West,0.63,1
WH-S101224,North,1.43,3
WH-S101225,South,1.43,3
WH-S101226,East,2.42,2
WH-S101227,West,1.15,4
WH-E101228,North,2.33,2
WH-E101229,South,2.48,1
WH-E101230,East,2.63,1
WH-E101231,West,1.58,2
WH-W101232,North,0.52,4
WH-W101233,South,0.72,4
WH-W101234,East,1.39,1
WH-W101235,West,0.67,3
WH-C101236,North,1.55,2
WH-C101237,South,2.48,1
WH-C101238,East,0.98,3
WH-C101239,West,1.14,2
WH-N101240,North,1.08,2
WH-N101241,South,2.7,2
WH-N101242,East,1.09,3
WH-N101243,West,0.63,1
WH-S101244,North,1.43,3
WH-S101245,South,1.43,3
WH-S101246,East,2.42,2
WH-S101247,West,1.15,4
WH-E101248,North,2.33,2
WH-E101249,South,2.48,1
WH-E101250,East,2.63,1
WH-E101251,West,1.58,2
WH-W101252,North,0.52,4
WH-W101253,South,0.72,4
WH-W101254,East,1.39,1
WH-W101255,West,0.67,3
WH-C101256,North,1.55,2
WH-C101257,South,2.48,1
WH-C101258,East,0.98,3
WH-C101259,West,1.14,2
WH-N101260,North,1.08,2
WH-N101261,South,2.7,2
WH-N101262,East,1.09,3
WH-N101263,West,0.63,1
WH-S101264,North,1.43,3
WH-S101265,South,1.43,3
WH-S101266,East,2.42,2
WH-S101267,West,1.15,4
WH-E101268,North,2.33,2
WH-E101269,South,2.48,1
WH-E101270,East,2.63,1
WH-E101271,West,1.58,2
WH-W101272,North,0.52,4
WH-W101273,South,0.72,4
WH-W101274,East,1.39,1
WH-W101275,West,0.67,3
WH-C101276,North,1.55,2
WH-C101277,South,2.48,1
WH-C101278,East,0.98,3
WH-C101279,West,1.14,2
WH-N101280,North,1.08,2
WH-N101281,South,2.7,2
WH-N101282,East,1.09,3
WH-N101283,West,0.63,1
WH-S101284,North,1.43,3
WH-S101285,South,1.43,3
WH-S101286,East,2.42,2
WH-S101287,West,1.15,4
WH-E101288,North,2.33,2
WH-E101289,South,2.48,1
WH-E101290,East,2.63,1
WH-E101291,West,1.58,2
WH-W101292,North,0.52,4
WH-W101293,South,0.72,4
WH-W101294,East,1.39,1
WH-W101295,West,0.67,3
WH-C101296,North,1.55,2
WH-C101297,South,2.48,1
WH-C101298,East,0.98,3
WH-C101299,West,1.14,2
WH-N101300,North,1.08,2
WH-N101301,South,2.7,2
WH-N101302,East,1.09,3
WH-N101303,West,0.63,1
WH-S101304,North,1.43,3
WH-S101305,South,1.43,3
WH-S101306,East,2.42,2
WH-S101307,West,1.15,4
WH-E101308,North,2.33,2
WH-E101309,South,2.48,1
WH-E101310,East,2.63,1
WH-E101311,West,1.58,2
WH-W101312,North,0.52,4
WH-W101313,South,0.72,4
WH-W101314,East,1.39,1
WH-W101315,West,0.67,3
WH-C101316,North,1.55,2
WH-C101317,South,2.48,1
WH-C101318,East,0.98,3
WH-C101319,West,1.14,2
WH-N101320,North,1.08,2
WH-N101321,South,2.7,2
WH-N101322,East,1.09,3
WH-N101323,West,0.63,1
WH-S101324,North,1.43,3
WH-S101325,South,1.43,3
WH-S101326,East,2.42,2
WH-S101327,West,1.15,4
WH-E101328,North,2.33,2
WH-E101329,South,2.48,1
WH-E101330,East,2.63,1
WH-E101331,West,1.58,2
WH-W101332,North,0.52,4
WH-W101333,South,0.72,4
WH-W101334,East,1.39,1
WH-W101335,West,0.67,3
WH-C101336,North,1.55,2
WH-C101337,South,2.48,1
WH-C101338,East,0.98,3
WH-C101339,West,1.14,2
WH-N101340,North,1.08,2
WH-N101341,South,2.7,2
WH-N101342,East,1.09,3
WH-N101343,West,0.63,1
WH-S101344,North,1.43,3
WH-S101345,South,1.43,3
WH-S101346,East,2.42,2
WH-S101347,West,1.15,4
WH-E101348,North,2.33,2
WH-E101349,South,2.48,1
WH-E101350,East,2.63,1
WH-E101351,West,1.58,2
WH-W101352,North,0.52,4
WH-W101353,South,0.72,4
WH-W101354,East,1.39,1
WH-W101355,West,0.67,3
WH-C101356,North,1.55,2
WH-C101357,South,2.48,1
WH-C101358,East,0.98,3
WH-C101359,West,1.14,2
WH-N101360,North,1.08,2
WH-N101361,South,2.7,2
WH-N101362,East,1.09,3
WH-N101363,West,0.63,1
WH-S101364,North,1.43,3
WH-S101365,South,1.43,3
WH-S101366,East,2.42,2
WH-S101367,West,1.15,4
WH-E101368,North,2.33,2
WH-E101369,South,2.48,1
WH-E101370,East,2.63,1
WH-E101371,West,1.58,2
WH-W101372,North,0.52,4
WH-W101373,South,0.72,4
WH-W101374,East,1.39,1
WH-W101375,West,0.67,3
WH-C101376,North,1.55,2
WH-C101377,South,2.48,1
WH-C101378,East,0.98,3
WH-C101379,West,1.14,2
WH-N101380,North,1.08,2
WH-N101381,South,2.7,2
WH-N101382,East,1.09,3
WH-N101383,West,0.63,1
WH-S101384,North,1.43,3
WH-S101385,South,1.43,3
WH-S101386,East,2.42,2
WH-S101387,West,1.15,4
WH-E101388,North,2.33,2
WH-E101389,South,2.48,1
WH-E101390,East,2.63,1
WH-E101391,West,1.58,2
WH-W101392,North,0.52,4
WH-W101393,South,0.72,4
WH-W101394,East,1.39,1
WH-W101395,West,0.67,3
WH-C101396,North,1.55,2
WH-C101397,South,2.48,1
WH-C101398,East,0.98,3
WH-C101399,West,1.14,2
WH-N101400,North,1.08,2
WH-N101401,South,2.7,2
WH-N101402,East,1.09,3
WH-N101403,West,0.63,1
WH-S101404,North,1.43,3
WH-S101405,South,1.43,3
WH-S101406,East,2.42,2
WH-S101407,West,1.15,4
WH-E101408,North,2.33,2
WH-E101409,South,2.48,1
WH-E101410,East,2.63,1
WH-E101411,West,1.58,2
WH-W101412,North,0.52,4
WH-W101413,South,0.72,4
WH-W101414,East,1.39,1
WH-W101415,West,0.67,3
WH-C101416,North,1.55,2
WH-C101417,South,2.48,1
WH-C101418,East,0.98,3
WH-C101419,West,1.14,2
WH-N101420,North,1.08,2
WH-N101421,South,2.7,2
WH-N101422,East,1.09,3
WH-N101423,West,0.63,1
WH-S101424,North,1.43,3
WH-S101425,South,1.43,3
WH-S101426,East,2.42,2
WH-S101427,West,1.15,4
WH-E101428,North,2.33,2
WH-E101429,South,2.48,1
WH-E101430,East,2.63,1
WH-E101431,West,1.58,2
WH-W101432,North,0.52,4
WH-W101433,South,0.72,4
WH-W101434,East,1.39,1
WH-W101435,West,0.67,3
WH-C101436,North,1.55,2
WH-C101437,South,2.48,1
WH-C101438,East,0.98,3
WH-C101439,West,1.14,2
WH-N101440,North,1.08,2
WH-N101441,South,2.7,2
WH-N101442,East,1.09,3
WH-N101443,West,0.63,1
WH-S101444,North,1.43,3
WH-S101445,South,1.43,3
WH-S101446,East,2.42,2
WH-S101447,West,1.15,4
WH-E101448,North,2.33,2
WH-E101449,South,2.48,1
WH-E101450,East,2.63,1
WH-E101451,West,1.58,2
WH-W101452,North,0.52,4
WH-W101453,South,0.72,4
WH-W101454,East,1.39,1
WH-W101455,West,0.67,3
WH-C101456,North,1.55,2
WH-C101457,South,2.48,1
WH-C101458,East,0.98,3
WH-C101459,West,1.14,2
WH-N101460,North,1.08,2
WH-N101461,South,2.7,2
WH-N101462,East,1.09,3
WH-N101463,West,0.63,1
WH-S101464,North,1.43,3
WH-S101465,South,1.43,3
WH-S101466,East,2.42,2
WH-S101467,West,1.15,4
WH-E101468,North,2.33,2
WH-E101469,South,2.48,1
WH-E101470,East,2.63,1
WH-E101471,West,1.58,2
WH-W101472,North,0.52,4
WH-W101473,South,0.72,4
WH-W101474,East,1.39,1
WH-W101475,West,0.67,3
WH-C101476,North,1.55,2
WH-C101477,South,2.48,1
WH-C101478,East,0.98,3
WH-C101479,West,1.14,2
WH-N101480,North,1.08,2
WH-N101481,South,2.7,2
WH-N101482,East,1.09,3
WH-N101483,West,0.63,1
WH-S101484,North,1.43,3
WH-S101485,South,1.43,3
WH-S101486,East,2.42,2
WH-S101487,West,1.15,4
WH-E101488,North,2.33,2
WH-E101489,South,2.48,1
WH-E101490,East,2.63,1
WH-E101491,West,1.58,2
WH-W101492,North,0.52,4
WH-W101493,South,0.72,4
WH-W101494,East,1.39,1
WH-W101495,West,0.67,3
WH-C101496,North,1.55,2
WH-C101497,South,2.48,1
WH-C101498,East,0.98,3
WH-C101499,West,1.14,2
WH-N101500,North,1.08,2
WH-N101501,South,2.7,2
WH-N101502,East,1.09,3
WH-N101503,West,0.63,1
WH-S101504,North,1.43,3
WH-S101505,South,1.43,3
WH-S101506,East,2.42,2
WH-S101507,West,1.15,4
WH-E101508,North,2.33,2
WH-E101509,South,2.48,1
WH-E101510,East,2.63,1
WH-E101511,West,1.58,2
WH-W101512,North,0.52,4
WH-W101513,South,0.72,4
WH-W101514,East,1.39,1
WH-W101515,West,0.67,3
WH-C101516,North,1.55,2
WH-C101517,South,2.48,1
WH-C101518,East,0.98,3
WH-C101519,West,1.14,2
WH-N101520,North,1.08,2
WH-N101521,South,2.7,2
WH-N101522,East,1.09,3
WH-N101523,West,0.63,1
WH-S101524,North,1.43,3
WH-S101525,South,1.43,3
WH-S101526,East,2.42,2
WH-S101527,West,1.15,4
WH-E101528,North,2.33,2
WH-E101529,South,2.48,1
WH-E101530,East,2.63,1
WH-E101531,West,1.58,2
WH-W101532,North,0.52,4
WH-W101533,South,0.72,4
WH-W101534,East,1.39,1
WH-W101535,West,0.67,3
WH-C101536,North,1.55,2
WH-C101537,South,2.48,1
WH-C101538,East,0.98,3
WH-C101539,West,1.14,2
WH-N101540,North,1.08,2
WH-N101541,South,2.7,2
WH-N101542,East,1.09,3
WH-N101543,West,0.63,1
WH-S101544,North,1.43,3
WH-S101545,South,1.43,3
WH-S101546,East,2.42,2
WH-S101547,West,1.15,4
WH-E101548,North,2.33,2
WH-E101549,South,2.48,1
WH-E101550,East,2.63,1
WH-E101551,West,1.58,2
WH-W101552,North,0.52,4
WH-W101553,South,0.72,4
WH-W101554,East,1.39,1
WH-W101555,West,0.67,3
WH-C101556,North,1.55,2
WH-C101557,South,2.48,1
WH-C101558,East,0.98,3
WH-C101559,West,1.14,2
WH-N101560,North,1.08,2
WH-N101561,South,2.7,2
WH-N101562,East,1.09,3
WH-N101563,West,0.63,1
WH-S101564,North,1.43,3
WH-S101565,South,1.43,3
WH-S101566,East,2.42,2
WH-S101567,West,1.15,4
WH-E101568,North,2.33,2
WH-E101569,South,2.48,1
WH-E101570,East,2.63,1
WH-E101571,West,1.58,2
WH-W101572,North,0.52,4
WH-W101573,South,0.72,4
WH-W101574,East,1.39,1
WH-W101575,West,0.67,3
WH-C101576,North,1.55,2
WH-C101577,South,2.48,1
WH-C101578,East,0.98,3
WH-C101579,West,1.14,2
WH-N101580,North,1.08,2
WH-N101581,South,2.7,2
WH-N101582,East,1.09,3
WH-N101583,West,0.63,1
WH-S101584,North,1.43,3
WH-S101585,South,1.43,3
WH-S101586,East,2.42,2
WH-S101587,West,1.15,4
WH-E101588,North,2.33,2
WH-E101589,South,2.48,1
WH-E101590,East,2.63,1
WH-E101591,West,1.58,2
WH-W101592,North,0.52,4
WH-W101593,South,0.72,4
WH-W101594,East,1.39,1
WH-W101595,West,0.67,3
WH-C101596,North,1.55,2
WH-C101597,South,2.48,1
WH-C101598,East,0.98,3
WH-C101599,West,1.14,2
WH-N101600,North,1.08,2
WH-N101601,South,2.7,2
WH-N101602,East,1.09,3
WH-N101603,West,0.63,1
WH-S101604,North,1.43,3
WH-S101605,South,1.43,3
WH-S101606,East,2.42,2
WH-S101607,West,1.15,4
WH-E101608,North,2.33,2
WH-E101609,South,2.48,1
WH-E101610,East,2.63,1
WH-E101611,West,1.58,2
WH-W101612,North,0.52,4
WH-W101613,South,0.72,4
WH-W101614,East,1.39,1
WH-W101615,West,0.67,3
WH-C101616,North,1.55,2
WH-C101617,South,2.48,1
WH-C101618,East,0.98,3
WH-C101619,West,1.14,2
WH-N101620,North,1.08,2
WH-N101621,South,2.7,2
WH-N101622,East,1.09,3
WH-N101623,West,0.63,1
WH-S101624,North,1.43,3
WH-S101625,South,1.43,3
WH-S101626,East,2.42,2
WH-S101627,West,1.15,4
WH-E101628,North,2.33,2
WH-E101629,South,2.48,1
WH-E101630,East,2.63,1
WH-E101631,West,1.58,2
WH-W101632,North,0.52,4
WH-W101633,South,0.72,4
WH-W101634,East,1.39,1
WH-W101635,West,0.67,3
WH-C101636,North,1.55,2
WH-C101637,South,2.48,1
WH-C101638,East,0.98,3
WH-C101639,West,1.14,2
WH-N101640,North,1.08,2
WH-N101641,South,2.7,2
WH-N101642,East,1.09,3
WH-N101643,West,0.63,1
WH-S101644,North,1.43,3
WH-S101645,South,1.43,3
WH-S101646,East,2.42,2
WH-S101647,West,1.15,4
WH-E101648,North,2.33,2
WH-E101649,South,2.48,1
WH-E101650,East,2.63,1
WH-E101651,West,1.58,2
WH-W101652,North,0.52,4
WH-W101653,South,0.72,4
WH-W101654,East,1.39,1
WH-W101655,West,0.67,3
WH-C101656,North,1.55,2
WH-C101657,South,2.48,1
WH-C101658,East,0.98,3
WH-C101659,West,1.14,2
WH-N101660,North,1.08,2
WH-N101661,South,2.7,2
WH-N101662,East,1.09,3
WH-N101663,West,0.63,1
WH-S101664,North,1.43,3
WH-S101665,South,1.43,3
WH-S101666,East,2.42,2
WH-S101667,West,1.15,4
WH-E101668,North,2.33,2
WH-E101669,South,2.48,1
WH-E101670,East,2.63,1
WH-E101671,West,1.58,2
WH-W101672,North,0.52,4
WH-W101673,South,0.72,4
WH-W101674,East,1.39,1
WH-W101675,West,0.67,3
WH-C101676,North,1.55,2
WH-C101677,South,2.48,1
WH-C101678,East,0.98,3
WH-C101679,West,1.14,2
WH-N101680,North,1.08,2
WH-N101681,South,2.7,2
WH-N101682,East,1.09,3
WH-N101683,West,0.63,1
WH-S101684,North,1.43,3
WH-S101685,South,1.43,3
WH-S101686,East,2.42,2
WH-S101687,West,1.15,4
WH-E101688,North,2.33,2
WH-E101689,South,2.48,1
WH-E101690,East,2.63,1
WH-E101691,West,1.58,2
WH-W101692,North,0.52,4
WH-W101693,South,0.72,4
WH-W101694,East,1.39,1
WH-W101695,West,0.67,3
WH-C101696,North,1.55,2
WH-C101697,South,2.48,1
WH-C101698,East,0.98,3
WH-C101699,West,1.14,2
WH-N101700,North,1.08,2
WH-N101701,South,2.7,2
WH-N101702,East,1.09,3
WH-N101703,West,0.63,1
WH-S101704,North,1.43,3
WH-S101705,South,1.43,3
WH-S101706,East,2.42,2
WH-S101707,West,1.15,4
WH-E101708,North,2.33,2
WH-E101709,South,2.48,1
WH-E101710,East,2.63,1
WH-E101711,West,1.58,2
WH-W101712,North,0.52,4
WH-W101713,South,0.72,4
WH-W101714,East,1.39,1
WH-W101715,West,0.67,3
WH-C101716,North,1.55,2
WH-C101717,South,2.48,1
WH-C101718,East,0.98,3
WH-C101719,West,1.14,2
WH-N101720,North,1.08,2
WH-N101721,South,2.7,2
WH-N101722,East,1.09,3
WH-N101723,West,0.63,1
WH-S101724,North,1.43,3
WH-S101725,South,1.43,3
WH-S101726,East,2.42,2
WH-S101727,West,1.15,4
WH-E101728,North,2.33,2
WH-E101729,South,2.48,1
WH-E101730,East,2.63,1
WH-E101731,West,1.58,2
WH-W101732,North,0.52,4
WH-W101733,South,0.72,4
WH-W101734,East,1.39,1
WH-W101735,West,0.67,3
WH-C101736,North,1.55,2
WH-C101737,South,2.48,1
WH-C101738,East,0.98,3
WH-C101739,West,1.14,2
WH-N101740,North,1.08,2
WH-N101741,South,2.7,2
WH-N101742,East,1.09,3
WH-N101743,West,0.63,1
WH-S101744,North,1.43,3
WH-S101745,South,1.43,3
WH-S101746,East,2.42,2
WH-S101747,West,1.15,4
WH-E101748,North,2.33,2
WH-E101749,South,2.48,1
WH-E101750,East,2.63,1
WH-E101751,West,1.58,2
WH-W101752,North,0.52,4
WH-W101753,South,0.72,4
WH-W101754,East,1.39,1
WH-W101755,West,0.67,3
WH-C101756,North,1.55,2
WH-C101757,South,2.48,1
WH-C101758,East,0.98,3
WH-C101759,West,1.14,2
WH-N101760,North,1.08,2
WH-N101761,South,2.7,2
WH-N101762,East,1.09,3
WH-N101763,West,0.63,1
WH-S101764,North,1.43,3
WH-S101765,South,1.43,3
WH-S101766,East,2.42,2
WH-S101767,West,1.15,4
WH-E101768,North,2.33,2
WH-E101769,South,2.48,1
WH-E101770,East,2.63,1
WH-E101771,West,1.58,2
WH-W101772,North,0.52,4
WH-W101773,South,0.72,4
WH-W101774,East,1.39,1
WH-W101775,West,0.67,3
WH-C101776,North,1.55,2
WH-C101777,South,2.48,1
WH-C101778,East,0.98,3
WH-C101779,West,1.14,2
WH-N101780,North,1.08,2
WH-N101781,South,2.7,2
WH-N101782,East,1.09,3
WH-N101783,West,0.63,1
WH-S101784,North,1.43,3
WH-S101785,South,1.43,3
WH-S101786,East,2.42,2
WH-S101787,West,1.15,4
WH-E101788,North,2.33,2
WH-E101789,South,2.48,1
WH-E101790,East,2.63,1
WH-E101791,West,1.58,2
WH-W101792,North,0.52,4
WH-W101793,South,0.72,4
WH-W101794,East,1.39,1
WH-W101795,West,0.67,3
WH-C101796,North,1.55,2
WH-C101797,South,2.48,1
WH-C101798,East,0.98,3
WH-C101799,West,1.14,2
WH-N101800,North,1.08,2
WH-N101801,South,2.7,2
WH-N101802,East,1.09,3
WH-N101803,West,0.63,1
WH-S101804,North,1.43,3
WH-S101805,South,1.43,3
WH-S101806,East,2.42,2
WH-S101807,West,1.15,4
WH-E101808,North,2.33,2
WH-E101809,South,2.48,1
WH-E101810,East,2.63,1
WH-E101811,West,1.58,2
WH-W101812,North,0.52,4
WH-W101813,South,0.72,4
WH-W101814,East,1.39,1
WH-W101815,West,0.67,3
WH-C101816,North,1.55,2
WH-C101817,South,2.48,1
WH-C101818,East,0.98,3
WH-C101819,West,1.14,2
WH-N101820,North,1.08,2
WH-N101821,South,2.7,2
WH-N101822,East,1.09,3
WH-N101823,West,0.63,1
WH-S101824,North,1.43,3
WH-S101825,South,1.43,3
WH-S101826,East,2.42,2
WH-S101827,West,1.15,4
WH-E101828,North,2.33,2
WH-E101829,South,2.48,1
WH-E101830,East,2.63,1
WH-E101831,West,1.58,2
WH-W101832,North,0.52,4
WH-W101833,South,0.72,4
WH-W101834,East,1.39,1
WH-W101835,West,0.67,3
WH-C101836,North,1.55,2
WH-C101837,South,2.48,1
WH-C101838,East,0.98,3
WH-C101839,West,1.14,2
WH-N101840,North,1.08,2
WH-N101841,South,2.7,2
WH-N101842,East,1.09,3
WH-N101843,West,0.63,1
WH-S101844,North,1.43,3
WH-S101845,South,1.43,3
WH-S101846,East,2.42,2
WH-S101847,West,1.15,4
WH-E101848,North,2.33,2
WH-E101849,South,2.48,1
WH-E101850,East,2.63,1
WH-E101851,West,1.58,2
WH-W101852,North,0.52,4
WH-W101853,South,0.72,4
WH-W101854,East,1.39,1
WH-W101855,West,0.67,3
WH-C101856,North,1.55,2
WH-C101857,South,2.48,1
WH-C101858,East,0.98,3
